"","Subbasin","each","rkt.pval","rkt.Sen","rkt.tau","RKTtrend","samples","sum.taxon"
"241","Issaquah Creek Subbasin","Zapada.cinctipes",6.41020181080254e-05,-0.352588383838383,-0.23801652892562,"negative",144,1847.75157693186
"242","Jenkins Creek Subbasin","Zapada.cinctipes",0.793889591653028,-0.132068452380963,-0.0366300366300366,"none",31,2458.736865529
"243","Kelsey Creek Subbasin","Zapada.cinctipes",0.0736382701203027,0.0653846153846154,0.294117647058824,"none",9,55.2497827929646
"244","Little Bear Creek Subbasin","Zapada.cinctipes",0.0269542385753039,0.498158544354197,0.145251396648045,"positive",118,3491.51755708699
"245","Lower Cedar River Subbasin","Zapada.cinctipes",0.648376200804858,-0.0373737373737367,-0.0402930402930403,"none",74,728.603080042271
"246","Lower Green River - E Subbasin","Zapada.cinctipes",0.507323887158162,-0.2445652173913,-0.0859106529209622,"none",34,1259.1403276335
"247","Lower Green River - W Subbasin","Zapada.cinctipes",0.338398146391989,0,-0.171428571428571,"none",6,6.38461538461539
"248","Lyon Creek Subbasin","Zapada.cinctipes",0.392314347285355,-0.553621687909614,-0.166666666666667,"none",16,343.656307075913
"249","May Creek Subbasin","Zapada.cinctipes",0.228612201341407,0.477927154843632,0.131868131868132,"none",46,844.618394715544
"250","McAleer Creek Subbasin","Zapada.cinctipes",0.741535244360739,-0.238095238095237,-0.0661764705882353,"none",17,230.206567188468
"251","Mercer Slough Subbasin","Zapada.cinctipes",0.841219241177106,0,0.0545454545454545,"none",3,15.8305834528934
"252","Middle Green River Subbasin","Zapada.cinctipes",0.0524243094204528,-0.132753759398496,-0.14850136239782,"none",88,1362.92560995401
"253","Mill Creek Subbasin","Zapada.cinctipes",0.587279012886866,0.227131936690763,0.072463768115942,"none",33,1141.39898325352
"254","Miller Creek Subbasin","Zapada.cinctipes",0.65796909006382,-0.181256243756244,-0.0888888888888889,"none",19,189.024309785001
